cur_zone_number,success_ratio_within_window,success_count_within_window,success,stepN,episodeN,episodeNInZone,episodeInWindow,ease_count,total_streched_ctr,restart_game_count,total_reward,total_step_count_for_experiment,goal,distance_traveled,energy_consumed,flight_time,time_stamp,weight_file_under_test
0,0.023,23,False,220,118,118,118,0,0,2,-328.7037695770998,32560,"[11.0, -10.25, 0]",107.73724365234375,0.0,88.42088317871094,1653451133218613248,
0,0.023,23,False,205,119,119,119,0,0,2,-328.74340288496904,32765,"[-9.25, 9.5, 0]",58.7569694519043,0.0,83.04476928710938,1653451217829243904,
0,0.023,23,False,204,120,120,120,0,0,2,-329.0857819282965,32969,"[11.0, 7.5, 0]",76.55150604248047,0.0,82.67276000976562,1653451302148985600,
0,0.023,23,False,135,121,121,121,0,0,2,-254.29741324211216,33104,"[7.5, 7.5, 0]",58.99635696411133,0.0,57.7242317199707,1653451361474531328,
0,0.024,24,True,40,122,122,122,0,0,2,969.1323236712924,33144,"[11.0, 7.5, 0]",25.853702545166016,0.0,21.34845542907715,1653451384336986112,
0,0.024,24,False,73,123,123,123,0,0,2,-192.140366717301,33217,"[7.5, 9.0, 0]",49.82052993774414,0.0,34.2877311706543,1653451420125830400,
0,0.025,25,True,48,124,124,124,0,0,2,962.0303713623975,33265,"[-9.75, -10.75, 0]",35.811954498291016,0.0,24.49852180480957,1653451446122185984,
0,0.025,25,False,495,125,125,125,0,0,2,-599.8032470734381,33760,"[-9.25, 9.5, 0]",223.27789306640625,0.0,199.36325073242188,1653451647022740480,
0,0.025,25,False,112,126,126,126,0,0,2,-229.98037012114463,33872,"[-8.25, 10.5, 0]",55.601890563964844,0.0,50.61708068847656,1653451699459952896,
0,0.025,25,False,114,127,127,127,0,0,2,-212.77580273598994,33986,"[11.0, -9.75, 0]",54.75506591796875,0.0,49.87606430053711,1653451750838495232,
0,0.025,25,False,151,128,128,128,0,0,2,-258.717310483363,34137,"[-7.25, -11.25, 0]",64.224853515625,0.0,67.5494384765625,1653451819879033344,
0,0.025,25,False,106,129,129,129,0,0,2,-226.7510967278104,34243,"[7.0, -9.75, 0]",44.52729797363281,0.0,42.67890930175781,1653451864159714048,
0,0.025,25,False,262,130,130,130,0,0,2,-382.6593358996167,34505,"[-7.25, -7.25, 0]",89.80479431152344,0.0,88.3578872680664,1653451953983663616,
